file_path,extraction_start__to__load_the_analysis,load_the_analysis__to__analysis_loaded,analysis_loaded__to__get_the_assists,get_the_assists__to__filter_for_extract_function_assist,filter_for_extract_function_assist__to__apply_extract_function_assist,apply_extract_function_assist__to__extraction_end,total_time,total_time_as_ms
/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/petgraph-ext6/src/algo/isomorphism.rs,853792,154358,3156,6198179,2902,75377,7287764,7.287764
/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/petgraph-inline-ext1/src/dot.rs,550082,114773,3004,4988262,3287,14740,5674148,5.674148
/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/sniffnet-ext1/src/utility/manage_charts_data.rs,318576,89782,3191,4012997,2925,11313,4438784,4.438784
/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/sniffnet-ext2/src/utility/manage_notifications.rs,521024,108808,2324,2959298,2719,7431,3601604,3.601604
/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/sniffnet-ext3/src/utility/get_formatted_strings.rs,491132,114474,2420,2639553,2501,14870,3264950,3.26495
/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/sniffnet-ext4/src/utility/get_formatted_strings.rs,289206,104857,2458,3087829,3184,19270,3506804,3.506804
/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/sniffnet-ext5/src/utility/manage_packets.rs,451829,112413,2904,3560519,2571,16898,4147134,4.147134
/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/sniffnet-ext6/src/utility/manage_packets.rs,665962,163596,5027,3423886,2428,22809,4283708,4.283708
/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/sniffnet-ext7/src/utility/manage_packets.rs,610395,115393,3062,3518957,6090,19601,4273498,4.273498
/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/sniffnet-inline-ext1/src/utility/manage_packets.rs,606027,117642,2553,4392070,8793,30967,5158052,5.158052
/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_Original/sniffnet-inline-ext2/src/thread_parse_packets.rs,830359,110345,3269,1060569,7246,13375,2025163,2.025163
