repo,commit,commit_url,author_date,author,subject,hit_aspects,files_changed,insertions,deletions,branch
denoland/deno,95928c46eb83024551e4ede49ea00c4f4b21afef,https://github.com/denoland/deno/commit/95928c46eb83024551e4ede49ea00c4f4b21afef,2024-12-16,David Sherret,refactor: extract out `FileFetcher` to `deno_cache_dir` (#27263),,42,1008,2142,origin/main
denoland/deno,94c7653d0e3ce8dcdc08866b92ff698a65b4b0d7,https://github.com/denoland/deno/commit/94c7653d0e3ce8dcdc08866b92ff698a65b4b0d7,2024-12-09,David Sherret,fix(compile): correct read length for transpiled typescript files (#27301),,1,48,27,origin/main
denoland/deno,a26b873a7d269212db10a157bc9fdb49b6b83f52,https://github.com/denoland/deno/commit/a26b873a7d269212db10a157bc9fdb49b6b83f52,2024-12-04,David Sherret,refactor: remove usages of `deno_core::resolve_import` for resolving redirects (#27234),,2,2,5,origin/main
denoland/deno,8cd257de3dbdb94f0ddabcc262ff335c98ca314c,https://github.com/denoland/deno/commit/8cd257de3dbdb94f0ddabcc262ff335c98ca314c,2024-12-03,David Sherret,refactor: remove `CliNpmRegistryApi` (#27222),,15,242,301,origin/main
denoland/deno,c1dcf1b618e87f1a50869fffe38b473a77377fe8,https://github.com/denoland/deno/commit/c1dcf1b618e87f1a50869fffe38b473a77377fe8,2024-12-02,David Sherret,refactor: add deno_npm_cache crate (#27200),,22,492,435,origin/main
denoland/deno,0e641632c38383a1d67aa610867496f64ae423ca,https://github.com/denoland/deno/commit/0e641632c38383a1d67aa610867496f64ae423ca,2024-10-28,David Sherret,fix(check): expose more globals from @types/node (#26603),,4,13,11,origin/main
denoland/deno,54467015e0017a7a5fe9dd56eb21458325e2f3e9,https://github.com/denoland/deno/commit/54467015e0017a7a5fe9dd56eb21458325e2f3e9,2024-10-03,Divy Srivastava,chore: show expectation diff for wpt tests (#26014),,2,43,10,origin/main
denoland/deno,5faf769ac61b627d14710cdf487de7cd4eb3f9d3,https://github.com/denoland/deno/commit/5faf769ac61b627d14710cdf487de7cd4eb3f9d3,2024-09-28,David Sherret,refactor: extract out sloppy imports resolution from CLI crate (#25920),,28,665,527,origin/main
denoland/deno,36ebc03f177cc7db5deb93f4d403cafbed756eb5,https://github.com/denoland/deno/commit/36ebc03f177cc7db5deb93f4d403cafbed756eb5,2024-09-24,Nathan Whitaker,fix(cli): Warn on not-run lifecycle scripts with global cache (#25786),,16,589,300,origin/main
denoland/deno,0ea71abdefceb156e28f90bdfb7ca7a9914ec0c8,https://github.com/denoland/deno/commit/0ea71abdefceb156e28f90bdfb7ca7a9914ec0c8,2024-09-19,Yusuke Tanaka,fix(cli): handle edge cases around `export`s in doc tests and default export (#25720),,1,214,32,origin/main
denoland/deno,d5c00ef50e6519fccde54a577e038f0ebb1282e9,https://github.com/denoland/deno/commit/d5c00ef50e6519fccde54a577e038f0ebb1282e9,2024-09-18,Yusuke Tanaka,feat(cli): evaluate code snippets in JSDoc and markdown (#25220),,51,2148,309,origin/main
denoland/deno,8539cacbbe7dd7e5bece23b971cf1792f9ade3e7,https://github.com/denoland/deno/commit/8539cacbbe7dd7e5bece23b971cf1792f9ade3e7,2024-09-13,David Sherret,chore: update more registry.json files (#25615),,186,16185,185,origin/main
denoland/deno,6055629ee7f48a4e887392ccac13788aa4008249,https://github.com/denoland/deno/commit/6055629ee7f48a4e887392ccac13788aa4008249,2024-07-23,David Sherret,refactor: update to use deno_package_json (#24688),,21,123,101,origin/main
denoland/deno,ce7dc2be92499f15b4b0315bfca3ee9d61fc3c5e,https://github.com/denoland/deno/commit/ce7dc2be92499f15b4b0315bfca3ee9d61fc3c5e,2024-07-09,Nathan Whitaker,feat(node): Support executing npm package lifecycle scripts (preinstall/install/postinstall) (#24487),,207,1408,472,origin/main
denoland/deno,74ac29bae666cd910c6f66d47b20e3209afc1fe7,https://github.com/denoland/deno/commit/74ac29bae666cd910c6f66d47b20e3209afc1fe7,2024-07-05,Luca Casonato,fix(permissions): handle ipv6 addresses correctly (#24397),,11,415,138,origin/main
