repo,commit,commit_url,author_date,author,subject,hit_aspects,files_changed,insertions,deletions,branch
denoland/deno,093f3ba56518aba6e7844c17f9ba1fd09dafc6d1,https://github.com/denoland/deno/commit/093f3ba56518aba6e7844c17f9ba1fd09dafc6d1,2025-01-09,David Sherret,refactor(npm): extract out some npm fs resolution code from the cli (#27607),generics,24,312,213,origin/main
denoland/deno,742cc3111ccb7c3c12c1b05904be052094657481,https://github.com/denoland/deno/commit/742cc3111ccb7c3c12c1b05904be052094657481,2023-04-27,David Sherret,refactor(cli): extract out ProcState from CliMainWorker (#18867),generics,11,658,419,origin/main
denoland/deno,95d2f206fc98c69234d26e9b9fac93b1b1643c61,https://github.com/denoland/deno/commit/95d2f206fc98c69234d26e9b9fac93b1b1643c61,2022-07-01,David Sherret,refactor: extract `deno_graph::create_graph` use to common function (#15009),generics,9,122,408,origin/main
denoland/deno,b7b6b9c9e5b84dea67ff6a2b691245f640644b2c,https://github.com/denoland/deno/commit/b7b6b9c9e5b84dea67ff6a2b691245f640644b2c,2022-01-31,Bartek Iwańczuk,"Revert ""refactor: factor out CDP message types (#13501)"" (#13540)",async_await,8,109,642,origin/main
denoland/deno,b33e8d5d427934544fa6e0de44df8793aae63c9d,https://github.com/denoland/deno/commit/b33e8d5d427934544fa6e0de44df8793aae63c9d,2020-10-18,Casper Beyer,refactor(cli/repl): extract is_closing to a function (#8015),async_await,1,26,22,origin/main
zed-industries/zed,28baa56e3dd69d50b2b767aa4d138248225b97b6,https://github.com/zed-industries/zed/commit/28baa56e3dd69d50b2b767aa4d138248225b97b6,2024-07-22,Marshall Bowers,repl: Factor out `ReplStore` (#14970),generics,6,263,184,origin/kb/rainbow-brackets
zed-industries/zed,46fef69b1a7423caa7278a79d25550a6cffd342c,https://github.com/zed-industries/zed/commit/46fef69b1a7423caa7278a79d25550a6cffd342c,2022-08-09,ForLoveOfCats,Refactor notification/observation callback pattern in MutableAppContext,generics,1,164,367,origin/kb/rainbow-brackets
zed-industries/zed,4dad2eb7d79b50013e5e3417b5755c2d3529fe96,https://github.com/zed-industries/zed/commit/4dad2eb7d79b50013e5e3417b5755c2d3529fe96,2022-07-05,Isaac Clayton,Refactor closure to extract async,generics,1,45,18,origin/kb/rainbow-brackets
zed-industries/zed,7edcf7c42320460f8b271490562bf806e64ff564,https://github.com/zed-industries/zed/commit/7edcf7c42320460f8b271490562bf806e64ff564,2022-06-09,Isaac Clayton,Factor out serialization code,generics,1,48,25,origin/kb/rainbow-brackets
